time_ms x_cm y_cm
0.005 -0.552466811336544 0.164225440873349
0.045 -0.551985866854963 0.167493836823919
0.085 -0.488404298169797 0.13299530342783
0.125 -0.494115280710716 0.135006461803943
0.165 -0.500947293196148 0.119150189231828
0.205 -0.440976828666265 0.11927067406091
0.245 -0.417164095920256 0.119946714262621
0.285 -0.36704275102538 0.106275748064629
0.325 -0.343870050525709 0.11882510832093
0.365 -0.328595189081042 0.106300808983413
0.405 -0.302714176781024 0.104505971373644
0.445 -0.284819174760415 0.0588063622735397
0.485 -0.294646589141209 0.0788825826360124
0.525 -0.253175729795771 0.0568946233524059
0.565 -0.212885849446408 0.0620503163467774
0.605 -0.200780382962904 0.047586905717143
0.645 -0.121574650720376 0.0645001676378065
0.685 -0.123454345152979 0.0596985553414235
0.725 -0.0579661896667147 0.064175774522397
0.765 -0.00947890364705017 0.0504109268222237
0.805 -0.0251153890818614 0.0350913711737029
0.845 0.0422590284271109 0.0658589267957517
0.885 0.0702921927743603 0.0655257004510865
0.925 0.0690277980759362 0.0980804913195321
0.965 0.0484625273688124 0.0638413402870874
1.005 0.0438964162688222 0.0662156010149992
1.045 0.0381522347300773 0.09491305558306
1.085 0.0270874864662431 0.0805387605600991
1.125 0.0427361352594033 0.0950655684005888
1.165 0.0943160249182426 0.0837669403748933
1.205 0.109274750412411 0.101436371628857
1.245 0.118935535468395 0.0824974205879379
1.285 0.12858392115966 0.113932122127697
1.325 0.105323242655473 0.0980670360624423
1.365 0.123805438900092 0.114290992659374
1.405 0.107273553588428 0.0966457195803905
1.445 0.108466835104394 0.099066295493337
1.485 0.109379829171147 0.160575335123013
1.525 0.122397667301684 0.177208515944127
1.565 0.137110422260193 0.161184108549815
1.605 0.154435205811154 0.143990838910408
1.645 0.208326860030255 0.159709311102315
1.685 0.273111226831602 0.159414312465056
1.725 0.294813577573819 0.158440559662253
1.765 0.321237622462789 0.1487881252555
1.805 0.340229855706767 0.159615698636443
1.845 0.36872814109725 0.131442585175378
1.885 0.411536816246112 0.114362930670726
1.925 0.448260517463922 0.147140511938616
1.965 0.481711479909663 0.118035642192421
2.005 0.544945147615735 0.151447254969064
2.045 0.571959731978836 0.148954128233079
2.085 0.563301313817277 0.136361599012869
2.125 0.625607797672956 0.135501228134572
2.165 0.620805584019493 0.136714109786123
2.205 0.655595546133526 0.134273515975998
2.245 0.6451267142495 0.12516106334273
2.285 0.687816434819382 0.137944885799971
2.325 0.689071990951447 0.141471130883883
2.365 0.672000076459184 0.116429704730717
2.405 0.672816975374104 0.0886752650493143
2.445 0.660644697920304 0.0718216251247057
2.485 0.623203188727402 0.040926501313205
2.525 0.605237287167853 0.0565804240736689
2.565 0.539610015585282 0.0234009648058127
2.605 0.481835954936713 -0.00671210144861334
2.645 0.415246282432264 -0.00642414453607643
2.685 0.41530912447773 -0.0413120097640878
2.725 0.416217597350169 -0.0673270131313934
2.765 0.423046829544418 -0.0710819873941873
2.805 0.428934933462955 -0.0848624507375568
2.845 0.409952716795701 -0.0702889211036535
2.885 0.420412249722816 -0.101625015877111
2.925 0.38199932178361 -0.10265132880885
2.965 0.367152477003174 -0.0857976056337471
3.005 0.373414324661056 -0.11573933655303
3.045 0.368666607742199 -0.0833496810100769
