Parameter name,Value
"local_recall, ML",54.51133062612612
"local_damping, ML",8.476907271635715
"global_recall, ML",5.132251459487042
"global_damping, ML",5.622904063606079
"sigma, ML",3.421516059573163
"local_recall, AP",52.51414878284536
"local_damping, AP",10.507323730250604
"global_recall, AP",1.4775562318185342
"global_damping, AP",4.39535046423387
"sigma, AP",3.6342706563378946
